2025-03-09 23:55:04,263 Epochs: [170/300]; Train loss: 0.087668; Valid loss: 0.065701; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:00:09,456 Epochs: [171/300]; Train loss: 0.087876; Valid loss: 0.065030; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:05:16,555 Epochs: [172/300]; Train loss: 0.088300; Valid loss: 0.065621; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:10:19,036 Epochs: [173/300]; Train loss: 0.088204; Valid loss: 0.066665; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:15:36,606 Epochs: [174/300]; Train loss: 0.087174; Valid loss: 0.063837; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:20:41,088 Epochs: [175/300]; Train loss: 0.088935; Valid loss: 0.065185; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:25:42,263 Epochs: [176/300]; Train loss: 0.088023; Valid loss: 0.064928; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:30:45,248 Epochs: [177/300]; Train loss: 0.087658; Valid loss: 0.065130; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:35:58,018 Epochs: [178/300]; Train loss: 0.087701; Valid loss: 0.065760; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:41:03,107 Epochs: [179/300]; Train loss: 0.087699; Valid loss: 0.064961; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:46:03,182 Epochs: [180/300]; Train loss: 0.086990; Valid loss: 0.065359; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:51:06,012 Epochs: [181/300]; Train loss: 0.087799; Valid loss: 0.065285; mapping: 0.000000; lr: 0.000001 

2025-03-10 00:56:09,876 Epochs: [182/300]; Train loss: 0.087592; Valid loss: 0.064465; mapping: 0.000000; lr: 0.000001 

2025-03-10 01:01:20,336 Epochs: [183/300]; Train loss: 0.086623; Valid loss: 0.064156; mapping: 0.000000; lr: 0.000001 

